Date,Bill of Lading,Location,Customer,Product,Volume,,
4/01/2024,8141318279,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"37,243",,
4/01/2024,8141318279,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"40,541",,
4/01/2024,8141318279,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,231,,
4/01/2024,8141318279,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,251,,
4/01/2024,8141239896,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"43,759",,
4/01/2024,8141239896,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"47,740",,
4/01/2024,8141239896,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,665",,
4/01/2024,8141239896,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,907",,
4/01/2024,8141243700,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"37,240",,
4/01/2024,8141243700,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"40,537",,
4/01/2024,8141243700,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,268",,
4/01/2024,8141243700,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,469",,
4/01/2024,8141243701,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"44,228",,
4/01/2024,8141243701,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"47,780",,
4/01/2024,8141243701,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,693",,
4/01/2024,8141243701,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,910",,
4/01/2024,TERRY HARROP,AU TERM KEWDALE,AU AIRPT JANDAKOT,JET A-1,"35,602",,
4/01/2024,TERRY HARROP,AU TERM KEWDALE,AU AIRPT JANDAKOT,JET A-1,788,,
4/01/2024,8141292685,AU TERM KEWDALE,TALISON LITHIUM MSA,BP ULTIMATE DIESEL,"37,290",,
4/01/2024,8141292685,AU TERM KEWDALE,TALISON LITHIUM MSA,BP ULTIMATE DIESEL,"36,849",,
