event_id,vehicle_id,vehicle,driver,detection_time,utc_offset,event_type,detected_event_type,duration_seconds,speed_kph,travel_metres,latitude,longitude,audio_alert,vibration_alert,trip_distance_metres,trip_time_seconds,confirmation,confirmation_time,classification,fleet,timezone,account,service_provider,shift,crew,guardian_unit,software_version,labels,,,
2423676730,131067,1HXX939,,4/3/2024,480,fatigue,fatigue,1.5,75,32,-28.5406,115.5287,yes,yes,235105,9672,normal driving,4/3/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011943,1.4.7.493490,,,,
2423721866,10840,1ECE505,,4/4/2024,480,fatigue,fatigue,1.7,,,,,yes,yes,0,95,normal driving,4/4/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P04025-S00009434,4.6.1.428552,,,,
2423722957,10840,1ECE505,,4/4/2024,480,fatigue,fatigue,2,,,,,yes,yes,0,1108,normal driving,4/4/2024,yawning,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P04025-S00009434,4.6.1.428552,,,,
2423723145,10840,1ECE505,,4/4/2024,480,fatigue,fatigue,2.6,,,,,yes,yes,0,1307,normal driving,4/4/2024,system error,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P04025-S00009434,4.6.1.428552,,,,
2423726423,10840,1ECE505,,4/4/2024,480,fatigue,fatigue,26,,,,,yes,yes,0,4082,normal driving,4/4/2024,system error,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P04025-S00009434,4.6.1.428552,,,,
2423727964,101697,1HSO643,,4/4/2024,480,fatigue,fatigue,2.9,,,,,yes,yes,0,740,normal driving,4/4/2024,system error,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011115,1.4.7.493490,,,,
2423728469,10840,1ECE505,,4/4/2024,480,fatigue,fatigue,5.2,,,,,yes,yes,0,6033,normal driving,4/4/2024,system error,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P04025-S00009434,4.6.1.428552,,,,
2423728476,10840,1ECE505,,4/4/2024,480,fatigue,fatigue,5.5,,,,,yes,yes,0,6038,normal driving,4/4/2024,system error,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P04025-S00009434,4.6.1.428552,,,,
2423728500,10840,1ECE505,,4/4/2024,480,fatigue,fatigue,7.6,,,,,yes,yes,0,6049,normal driving,4/4/2024,system error,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P04025-S00009434,4.6.1.428552,,,,
2423728543,10840,1ECE505,,4/4/2024,480,fatigue,fatigue,13.1,,,,,yes,yes,0,6083,normal driving,4/4/2024,system error,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P04025-S00009434,4.6.1.428552,,,,
2423728778,10840,1ECE505,,4/4/2024,480,fatigue,fatigue,2.1,,,,,yes,yes,0,6311,normal driving,4/4/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P04025-S00009434,4.6.1.428552,,,,
2423732964,10840,1ECE505,,4/4/2024,480,fatigue,fatigue,2,,,,,yes,yes,0,10144,normal driving,4/4/2024,system error,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P04025-S00009434,4.6.1.428552,,,,
2423734029,10840,1ECE505,,4/4/2024,480,fatigue,fatigue,3.9,,,,,yes,yes,0,11217,normal driving,4/4/2024,system error,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P04025-S00009434,4.6.1.428552,,,,
2423734072,10840,1ECE505,,4/4/2024,480,fatigue,fatigue,26.5,,,,,yes,yes,0,11221,normal driving,4/4/2024,system error,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P04025-S00009434,4.6.1.428552,,,,
