Date,Bill of Lading,Location,Customer,Product,Volume,,
1/3/2024,8141293722,AU TERM KEWDALE,AWR FORRESTFIELD T70 CARRIER,BP ULTIMATE DIESEL,"37,596",,
1/3/2024,8141293722,AU TERM KEWDALE,AWR FORRESTFIELD T70 CARRIER,BP ULTIMATE DIESEL,"8,249",,
1/3/2024,8141293722,AU TERM KEWDALE,AWR FORRESTFIELD T70 CARRIER,BP ULTIMATE DIESEL,696,,
1/3/2024,8141293722,AU TERM KEWDALE,AWR FORRESTFIELD T70 CARRIER,BP ULTIMATE DIESEL,153,,
1/3/2024,8141293723,AU TERM KEWDALE,LINFOX HAZELMERE (DEL),ULSD 10PPM,"30,998",,
1/3/2024,8141293723,AU TERM KEWDALE,LINFOX HAZELMERE (DEL),ULSD 10PPM,275,,
1/3/2024,8141287267,AU THDPTY COOGEE ROCKINGHAM,PIACENTINI - MYARA,ULSD 10PPM,"35,484",,
1/3/2024,8141287267,AU THDPTY COOGEE ROCKINGHAM,PIACENTINI - MYARA,ULSD 10PPM,"38,095",,
1/3/2024,8141287267,AU THDPTY COOGEE ROCKINGHAM,PIACENTINI - MYARA,ULSD 10PPM,717,,
1/3/2024,8141287267,AU THDPTY COOGEE ROCKINGHAM,PIACENTINI - MYARA,ULSD 10PPM,770,,
1/3/2024,8141302145,AU THDPTY COOGEE ROCKINGHAM,CHARLES HULL-WAROONA EX KEWDALE,ULSD 10PPM,"35,492",,
1/3/2024,8141302145,AU THDPTY COOGEE ROCKINGHAM,CHARLES HULL-WAROONA EX KEWDALE,ULSD 10PPM,"38,097",,
1/3/2024,8141302145,AU THDPTY COOGEE ROCKINGHAM,CHARLES HULL-WAROONA EX KEWDALE,ULSD 10PPM,639,,
1/3/2024,8141302145,AU THDPTY COOGEE ROCKINGHAM,CHARLES HULL-WAROONA EX KEWDALE,ULSD 10PPM,686,,
1/3/2024,8141287267,AU THDPTY COOGEE ROCKINGHAM,PIACENTINI - MYARA,ULSD 10PPM,"-35,484",,
1/3/2024,8141287267,AU THDPTY COOGEE ROCKINGHAM,PIACENTINI - MYARA,ULSD 10PPM,"-38,095",,
1/3/2024,8141287267,AU THDPTY COOGEE ROCKINGHAM,PIACENTINI - MYARA,ULSD 10PPM,-717,,
1/3/2024,8141287267,AU THDPTY COOGEE ROCKINGHAM,PIACENTINI - MYARA,ULSD 10PPM,-770,,
1/3/2024,8141287267,AU THDPTY COOGEE ROCKINGHAM,PIACENTINI - MYARA,ULSD 10PPM,"20,986",,
1/3/2024,8141287267,AU THDPTY COOGEE ROCKINGHAM,PIACENTINI - MYARA,ULSD 10PPM,"38,095",,
1/3/2024,8141287267,AU THDPTY COOGEE ROCKINGHAM,PIACENTINI - MYARA,ULSD 10PPM,424,,
1/3/2024,8141287267,AU THDPTY COOGEE ROCKINGHAM,PIACENTINI - MYARA,ULSD 10PPM,770,,
1/3/2024,324052,AU THDPTY COOGEE ROCKINGHAM,CHARLES HULL-NORTH DANDALUP,ULSD 10PPM,"14,498",,
1/3/2024,324052,AU THDPTY COOGEE ROCKINGHAM,CHARLES HULL-NORTH DANDALUP,ULSD 10PPM,364,,
1/4/2024,8141318279,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"37,243",,
1/4/2024,8141318279,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"40,541",,
1/4/2024,8141318279,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,231,,
1/4/2024,8141318279,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,251,,
1/4/2024,8141239896,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"43,759",,
1/4/2024,8141239896,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"47,740",,
1/4/2024,8141239896,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,665",,
1/4/2024,8141239896,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,907",,
1/4/2024,8141243700,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"37,240",,
1/4/2024,8141243700,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"40,537",,
1/4/2024,8141243700,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,268",,
1/4/2024,8141243700,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,469",,
1/4/2024,8141243701,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"44,228",,
1/4/2024,8141243701,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"47,780",,
1/4/2024,8141243701,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,693",,
1/4/2024,8141243701,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,910",,
1/4/2024,TERRY HARROP,AU TERM KEWDALE,AU AIRPT JANDAKOT,JET A-1,"35,602",,
1/4/2024,TERRY HARROP,AU TERM KEWDALE,AU AIRPT JANDAKOT,JET A-1,788,,
1/4/2024,8141292685,AU TERM KEWDALE,TALISON LITHIUM MSA,BP ULTIMATE DIESEL,"37,290",,
1/4/2024,8141292685,AU TERM KEWDALE,TALISON LITHIUM MSA,BP ULTIMATE DIESEL,"36,849",,
1/4/2024,8141292685,AU TERM KEWDALE,TALISON LITHIUM MSA,BP ULTIMATE DIESEL,720,,
1/4/2024,8141292685,AU TERM KEWDALE,TALISON LITHIUM MSA,BP ULTIMATE DIESEL,711,,
1/4/2024,DANIEL COLLIER,AU TERM KEWDALE,BP CARNARVON,PREMIUM 98 ULTIMATE,"4,500",,
1/4/2024,DANIEL COLLIER,AU TERM KEWDALE,BP CARNARVON,PREMIUM 98 ULTIMATE,235,,
1/4/2024,DANIEL COLLIER,AU TERM KEWDALE,BP CARNARVON,Regular Unleaded Petrol 91 Octane,"6,150",,
1/4/2024,DANIEL COLLIER,AU TERM KEWDALE,BP CARNARVON,Regular Unleaded Petrol 91 Octane,321,,
1/4/2024,DANIEL COLLIER,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,"18,596",,
1/4/2024,DANIEL COLLIER,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,"24,745",,
1/4/2024,DANIEL COLLIER,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,"40,603",,
1/4/2024,DANIEL COLLIER,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,971,,
1/4/2024,DANIEL COLLIER,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,"1,292",,
1/4/2024,DANIEL COLLIER,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,"2,119",,
1/4/2024,8141303930,AU TERM KEWDALE,SOUTH32 BBM SADDLEBACK FULL,ULSD 10PPM,"37,600",,
1/4/2024,8141303930,AU TERM KEWDALE,SOUTH32 BBM SADDLEBACK FULL,ULSD 10PPM,"42,996",,
1/4/2024,8141303930,AU TERM KEWDALE,SOUTH32 BBM SADDLEBACK FULL,ULSD 10PPM,718,,
1/4/2024,8141303930,AU TERM KEWDALE,SOUTH32 BBM SADDLEBACK FULL,ULSD 10PPM,821,,
1/4/2024,8141303755,AU TERM KEWDALE,EMR GOLDEN GROVE,ULSD 10PPM,"39,247",,
1/4/2024,8141303755,AU TERM KEWDALE,EMR GOLDEN GROVE,ULSD 10PPM,"42,731",,
1/4/2024,8141303755,AU TERM KEWDALE,EMR GOLDEN GROVE,ULSD 10PPM,"1,803",,
1/4/2024,8141303755,AU TERM KEWDALE,EMR GOLDEN GROVE,ULSD 10PPM,"1,963",,
1/4/2024,TERRY HARROP,AU TERM KEWDALE,AU AIRPT JANDAKOT,AVGAS LOW LEAD,"39,230",,
1/4/2024,TERRY HARROP,AU TERM KEWDALE,AU AIRPT JANDAKOT,AVGAS LOW LEAD,944,,
1/4/2024,8141318013,AU TERM KEWDALE,SOUTH32 BBM MARRADONG SADDLEBACK,ULSD 10PPM,"42,821",,
1/4/2024,8141318013,AU TERM KEWDALE,SOUTH32 BBM MARRADONG SADDLEBACK,ULSD 10PPM,"34,779",,
1/4/2024,8141318013,AU TERM KEWDALE,SOUTH32 BBM MARRADONG SADDLEBACK,ULSD 10PPM,899,,
1/4/2024,8141318013,AU TERM KEWDALE,SOUTH32 BBM MARRADONG SADDLEBACK,ULSD 10PPM,730,,
1/4/2024,8141318969,AU TERM KEWDALE,LINFOX - KEWDALE (DEL),ULSD 10PPM,"8,000",,
1/4/2024,8141318969,AU TERM KEWDALE,LINFOX - KEWDALE (DEL),ULSD 10PPM,71,,
1/4/2024,8141318068,AU THDPTY COOGEE ROCKINGHAM,CHARLES HULL COOLUP EX COOGEE,ULSD 10PPM,"35,602",,
1/4/2024,8141318068,AU THDPTY COOGEE ROCKINGHAM,CHARLES HULL COOLUP EX COOGEE,ULSD 10PPM,"1,022",,
1/4/2024,63902,AU THDPTY COOGEE ROCKINGHAM,PILBARA CEMENT - KWINANA TANK,ULSD 10PPM,"38,028",,
1/4/2024,63902,AU THDPTY COOGEE ROCKINGHAM,PILBARA CEMENT - KWINANA TANK,ULSD 10PPM,354,,
1/5/2024,8141240006,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"44,161",,
1/5/2024,8141240006,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,872",,
1/5/2024,8141240006,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,274,,
1/5/2024,8141240006,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,297,,
1/5/2024,8141240008,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"44,161",,
1/5/2024,8141240008,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,873",,
1/5/2024,8141240008,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,274,,
1/5/2024,8141240008,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,297,,
1/5/2024,8141240693,AU TERM KEWDALE,TALISON LITHIUM MSA,BP ULTIMATE DIESEL,"38,946",,
1/5/2024,8141240693,AU TERM KEWDALE,TALISON LITHIUM MSA,BP ULTIMATE DIESEL,"37,748",,
1/5/2024,8141240693,AU TERM KEWDALE,TALISON LITHIUM MSA,BP ULTIMATE DIESEL,752,,
1/5/2024,8141240693,AU TERM KEWDALE,TALISON LITHIUM MSA,BP ULTIMATE DIESEL,729,,
1/5/2024,GRANT ROBINSON,AU TERM KEWDALE,AU AIRPT BUSSELTON,JET A-1,"36,891",,
1/5/2024,GRANT ROBINSON,AU TERM KEWDALE,AU AIRPT BUSSELTON,JET A-1,"32,850",,
1/5/2024,GRANT ROBINSON,AU TERM KEWDALE,AU AIRPT BUSSELTON,JET A-1,"1,429",,
1/5/2024,GRANT ROBINSON,AU TERM KEWDALE,AU AIRPT BUSSELTON,JET A-1,"1,273",,
1/5/2024,8141319029,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"44,225",,
1/5/2024,8141319029,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"47,781",,
1/5/2024,8141319029,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,693",,
1/5/2024,8141319029,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,910",,
1/5/2024,CRAIG BEAN,AU TERM KEWDALE,BP CARNARVON,Regular Unleaded Petrol 91 Octane,"6,000",,
1/5/2024,CRAIG BEAN,AU TERM KEWDALE,BP CARNARVON,Regular Unleaded Petrol 91 Octane,313,,
1/5/2024,CRAIG BEAN,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,"32,101",,
1/5/2024,CRAIG BEAN,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,"43,001",,
1/5/2024,CRAIG BEAN,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,"1,676",,
1/5/2024,CRAIG BEAN,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,"2,245",,
1/6/2024,8141240009,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"44,163",,
1/6/2024,8141240009,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,871",,
1/6/2024,8141240009,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,274,,
1/6/2024,8141240009,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,297,,
1/7/2024,8141319201,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"44,224",,
1/7/2024,8141319201,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,773",,
1/7/2024,8141319201,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,274,,
1/7/2024,8141319201,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,296,,
1/7/2024,8141319021,AU TERM KEWDALE,TALISON LITHIUM MSA,BP ULTIMATE DIESEL,"37,470",,
